54320	boring , uninspiring , uptight and snappy 	boring\B ,\O uninspiring\O ,\O uptight\O and\O snappy\O 	boring\B ,\O uninspiring\O ,\O uptight\O and\O snappy\O 
10623	This class is an automatic A if you do you work the right way which is really easy . Not to mention , there are extra credit opportunities given so take advantage of them . The test grades are based on a curve ; but they\ 're really easy . I highly recommend Enomoto . So take this class ! ! ! 	This\O class\O is\O an\O automatic\O A\O if\O you\O do\O you\O work\O the\O right\O way\O which\O is\O really\O easy\O .\O Not\O to\O mention\O ,\O there\O are\O extra\O credit\O opportunities\O given\O so\O take\O advantage\O of\O them\O .\O The\O test\O grades\O are\O based\O on\O a\O curve\O ;\O but\O they\B \\O 're\O really\O easy\O .\O I\O highly\O recommend\O Enomoto\O .\O So\O take\O this\O class\O !\O !\O !\O 	This\O class\O is\O an\O automatic\O A\O if\O you\O do\O you\O work\O the\O right\O way\O which\O is\O really\O easy\O .\O Not\O to\O mention\O ,\O there\O are\O extra\O credit\O opportunities\O given\O so\O take\O advantage\O of\O them\O .\O The\O test\O grades\O are\O based\O on\O a\O curve\O ;\O but\O they\\O 're\O really\B easy\I .\O I\O highly\O recommend\O Enomoto\O .\O So\O take\O this\O class\O !\O !\O !\O 
47530	She doesn\'t care about any excuses . If you miss a book review or a test expect a 0 . She makes you read 4 books in one semester . 	She\O doesn\'t\O care\B about\I any\I excuses\I .\O If\O you\O miss\O a\O book\O review\O or\O a\O test\O expect\O a\O 0\O .\O She\O makes\O you\O read\O 4\O books\O in\O one\O semester\O .\O 	She\O doesn\'t\B care\O about\O any\O excuses\O .\O If\O you\O miss\O a\O book\O review\O or\O a\O test\O expect\O a\O 0\O .\O She\O makes\O you\O read\O 4\O books\O in\O one\O semester\O .\O 
30860	Some students have no proper idea about web development.It is true that through workshops conducted under programing challange module helps us a lot.But some ca n't inderstand what is taught proprerly as some presentations are not conducted in an interactive way . 	Some\O students\O have\O no\O proper\O idea\O about\O web\B development\I .It\O is\O true\O that\O through\O workshops\O conducted\O under\O programing\O challange\O module\O helps\O us\O a\O lot.But\O some\O ca\O n't\O inderstand\O what\O is\O taught\O proprerly\O as\O some\O presentations\O are\O not\O conducted\O in\O an\O interactive\O way\O .\O 	Some\O students\O have\B no\I proper\I idea\I about\O web\O development.It\O is\O true\O that\O through\O workshops\O conducted\O under\O programing\O challange\O module\O helps\O us\O a\O lot.But\O some\O ca\O n't\O inderstand\O what\O is\O taught\O proprerly\O as\O some\O presentations\O are\O not\O conducted\O in\O an\O interactive\O way\O .\O 
30410	hand writing on the white board is not clear . 	hand\B writing\I on\I the\I white\I board\I is\O not\O clear\O .\O 	hand\O writing\O on\O the\O white\O board\O is\O not\B clear\I .\O 
2340	i think it 's better project evaluations are more focus on business logic and discuss how to improve the quality of designing more . 	i\O think\O it\O 's\O better\O project\B evaluations\I are\O more\O focus\O on\O business\O logic\O and\O discuss\O how\O to\O improve\O the\O quality\O of\O designing\O more\O .\O 	i\O think\O it\O 's\O better\O project\O evaluations\O are\O more\B focus\I on\O business\O logic\O and\O discuss\O how\O to\O improve\O the\O quality\O of\O designing\O more\O .\O 
38534	Andy\ 's one freaking awesome English teacher ! 191 is designed to allow you to use and experiment with different kinds of media and Andy asks you to do all of these ... butt crazy things that you don\'t really understand why you\ 're doing it , but at least it was fun and unpredictable ! Workload is kinda heavy , but if you keep up with it , you\ 'll do well . 	Andy\\O 's\O one\O freaking\O awesome\O English\O teacher\O !\O 191\O is\O designed\O to\O allow\O you\O to\O use\O and\O experiment\O with\O different\O kinds\O of\O media\O and\O Andy\O asks\O you\O to\O do\O all\O of\O these\O ...\O butt\O crazy\O things\B that\O you\O don\'t\O really\O understand\O why\O you\\O 're\O doing\O it\O ,\O but\O at\O least\O it\O was\O fun\O and\O unpredictable\O !\O Workload\O is\O kinda\O heavy\O ,\O but\O if\O you\O keep\O up\O with\O it\O ,\O you\\O 'll\O do\O well\O .\O 	Andy\\O 's\O one\O freaking\O awesome\O English\O teacher\O !\O 191\O is\O designed\O to\O allow\O you\O to\O use\O and\O experiment\O with\O different\O kinds\O of\O media\O and\O Andy\O asks\O you\O to\O do\O all\O of\O these\O ...\O butt\O crazy\O things\O that\O you\O don\'t\B really\I understand\I why\O you\\O 're\O doing\O it\O ,\O but\O at\O least\O it\O was\O fun\O and\O unpredictable\O !\O Workload\O is\O kinda\O heavy\O ,\O but\O if\O you\O keep\O up\O with\O it\O ,\O you\\O 'll\O do\O well\O .\O 
61080	an invigorating tutor , and all the girls follow him around like he is a peice of candy 	an\O invigorating\B tutor\O ,\O and\O all\O the\O girls\O follow\O him\O around\O like\O he\O is\O a\O peice\O of\O candy\O 	an\O invigorating\B tutor\O ,\O and\O all\O the\O girls\O follow\O him\O around\O like\O he\O is\O a\O peice\O of\O candy\O 
8754	I have taken 2 classes with him . Awsome teacher ! Makes class fun , and different than others ! Gives you plenty of time to work on papers . Papers are not long , but detailed . Follow directions to a T . 	I\O have\O taken\O 2\O classes\O with\O him\O .\O Awsome\O teacher\O !\O Makes\O class\O fun\O ,\O and\O different\O than\O others\O !\O Gives\O you\O plenty\O of\O time\O to\O work\O on\O papers\O .\O Papers\B are\O not\O long\O ,\O but\O detailed\O .\O Follow\O directions\O to\O a\O T\O .\O 	I\O have\O taken\O 2\O classes\O with\O him\O .\O Awsome\O teacher\O !\O Makes\O class\O fun\O ,\O and\O different\O than\O others\O !\O Gives\O you\O plenty\O of\O time\O to\O work\O on\O papers\O .\O Papers\O are\O not\B long\I ,\O but\O detailed\O .\O Follow\O directions\O to\O a\O T\O .\O 
40673	Very traditional teacher but more than fair . He gives out a generous amount of extra credit and does everything he can to help you if yon need it . Would recommend . 	Very\O traditional\O teacher\O but\O more\O than\O fair\O .\O He\O gives\O out\O a\O generous\O amount\O of\O extra\O credit\O and\O does\O everything\O he\O can\O to\O help\B you\O if\O yon\O need\O it\O .\O Would\O recommend\O .\O 	Very\O traditional\O teacher\O but\O more\O than\O fair\O .\O He\O gives\O out\O a\O generous\O amount\O of\O extra\O credit\O and\O does\O everything\O he\O can\O to\O help\B you\O if\O yon\O need\O it\O .\O Would\O recommend\O .\O 
20630	Tutorial classes helped me to understand the lessons properly , with the examples . 	Tutorial\B classes\I helped\O me\O to\O understand\O the\O lessons\O properly\O ,\O with\O the\O examples\O .\O 	Tutorial\O classes\O helped\B me\O to\O understand\O the\O lessons\O properly\O ,\O with\O the\O examples\O .\O 
11922	tons of busy work but it pays off . who cares what these other people are saying , the degree looks damn good on the resume . he knows nothing about sports..just learn on your own . good guy always willing to help . 	tons\O of\O busy\O work\O but\O it\O pays\O off\O .\O who\O cares\O what\O these\O other\O people\O are\O saying\O ,\O the\O degree\O looks\O damn\O good\O on\O the\O resume\O .\O he\O knows\B nothing\O about\O sports..just\O learn\O on\O your\O own\O .\O good\O guy\O always\O willing\O to\O help\O .\O 	tons\O of\O busy\O work\O but\O it\O pays\O off\O .\O who\O cares\O what\O these\O other\O people\O are\O saying\O ,\O the\O degree\O looks\O damn\O good\O on\O the\O resume\O .\O he\O knows\O nothing\B about\O sports..just\O learn\O on\O your\O own\O .\O good\O guy\O always\O willing\O to\O help\O .\O 
8310	Took Psychology of Death and Dying with him , and while it seemed to be his specialty , he teaches all psychology classes and based on my experience I\ 'd recommend him for any class . Very little homework , very little reading , but I\ 've honestly learned more from him than all other CCC professors combined . What a cool dude . 	Took\O Psychology\O of\O Death\O and\O Dying\O with\O him\B ,\O and\O while\O it\O seemed\O to\O be\O his\O specialty\O ,\O he\O teaches\O all\O psychology\O classes\O and\O based\O on\O my\O experience\O I\\O 'd\O recommend\O him\O for\O any\O class\O .\O Very\O little\O homework\O ,\O very\O little\O reading\O ,\O but\O I\\O 've\O honestly\O learned\O more\O from\O him\O than\O all\O other\O CCC\O professors\O combined\O .\O What\O a\O cool\O dude\O .\O 	Took\O Psychology\O of\O Death\O and\O Dying\B with\I him\O ,\O and\O while\O it\O seemed\O to\O be\O his\O specialty\O ,\O he\O teaches\O all\O psychology\O classes\O and\O based\O on\O my\O experience\O I\\O 'd\O recommend\O him\O for\O any\O class\O .\O Very\O little\O homework\O ,\O very\O little\O reading\O ,\O but\O I\\O 've\O honestly\O learned\O more\O from\O him\O than\O all\O other\O CCC\O professors\O combined\O .\O What\O a\O cool\O dude\O .\O 
26622	Lecture was fine . Lecturer gave us many information about the field and current trends of the CS arena . If possible please conduct another lecture at the end of the course module . Thank you . 	Lecture\O was\O fine\O .\O Lecturer\O gave\O us\O many\O information\O about\O the\O field\O and\O current\O trends\O of\O the\O CS\O arena\O .\O If\O possible\O please\O conduct\O another\O lecture\B at\O the\O end\O of\O the\O course\O module\O .\O Thank\O you\O .\O 	Lecture\O was\O fine\O .\O Lecturer\O gave\O us\O many\O information\O about\O the\O field\O and\O current\O trends\O of\O the\O CS\O arena\O .\O If\O possible\O please\B conduct\I another\O lecture\O at\O the\O end\O of\O the\O course\O module\O .\O Thank\O you\O .\O 
22040	I have a good impression about how the course is conducted . 	I\O have\O a\O good\O impression\O about\O how\O the\O course\B is\O conducted\O .\O 	I\O have\O a\O good\B impression\I about\O how\O the\O course\O is\O conducted\O .\O 
7752	He\ 's a nice guy , but very boring lectures . I have zoned out so many times . Tests are pretty tough . He does give you a study guide though . Lecture every class . Quizzes on short books and tests over a few weeks of material . 	He\\O 's\O a\O nice\O guy\O ,\O but\O very\O boring\O lectures\O .\O I\O have\O zoned\O out\O so\O many\O times\O .\O Tests\B are\O pretty\O tough\O .\O He\O does\O give\O you\O a\O study\O guide\O though\O .\O Lecture\O every\O class\O .\O Quizzes\O on\O short\O books\O and\O tests\O over\O a\O few\O weeks\O of\O material\O .\O 	He\\O 's\O a\O nice\O guy\O ,\O but\O very\O boring\O lectures\O .\O I\O have\O zoned\O out\O so\O many\O times\O .\O Tests\O are\O pretty\B tough\I .\O He\O does\O give\O you\O a\O study\O guide\O though\O .\O Lecture\O every\O class\O .\O Quizzes\O on\O short\O books\O and\O tests\O over\O a\O few\O weeks\O of\O material\O .\O 
40680	definetly one of the most helpful professors I\ 've ever had 	definetly\O one\O of\O the\O most\O helpful\B professors\O I\\O 've\O ever\O had\O 	definetly\O one\O of\O the\O most\B helpful\I professors\O I\\O 've\O ever\O had\O 
30780	I love this module but many modules have work loads so we could not focus this module 	I\O love\O this\O module\B but\O many\O modules\O have\O work\O loads\O so\O we\O could\O not\O focus\O this\O module\O 	I\O love\B this\O module\O but\O many\O modules\O have\O work\O loads\O so\O we\O could\O not\O focus\O this\O module\O 
4130	This module is very help for us 	This\O module\B is\O very\O help\O for\O us\O 	This\O module\O is\O very\B help\I for\O us\O 
35691	We had a good lecture series which intended us that there is more than programming in this CS field . Both lecturers taught well . Giving a quiz at the end seems unfair since it is hard to learn the concepts just by a lecture before any practical usage . 	We\O had\O a\O good\O lecture\O series\O which\O intended\O us\O that\O there\O is\O more\O than\O programming\O in\O this\O CS\O field\O .\O Both\B lecturers\I taught\O well\O .\O Giving\O a\O quiz\O at\O the\O end\O seems\O unfair\O since\O it\O is\O hard\O to\O learn\O the\O concepts\O just\O by\O a\O lecture\O before\O any\O practical\O usage\O .\O 	We\O had\O a\O good\O lecture\O series\O which\O intended\O us\O that\O there\O is\O more\O than\O programming\O in\O this\O CS\O field\O .\O Both\O lecturers\O taught\B well\I .\O Giving\O a\O quiz\O at\O the\O end\O seems\O unfair\O since\O it\O is\O hard\O to\O learn\O the\O concepts\O just\O by\O a\O lecture\O before\O any\O practical\O usage\O .\O 
61212	By far the best teacher ever . Wicked class a must take . You come out a changed person . 	By\O far\O the\O best\O teacher\O ever\O .\O Wicked\O class\B a\O must\O take\O .\O You\O come\O out\O a\O changed\O person\O .\O 	By\O far\O the\O best\O teacher\O ever\O .\O Wicked\O class\O a\O must\B take\I .\O You\O come\O out\O a\O changed\O person\O .\O 
41560	Awesome teacher . Very good at breaking the monotony , especially since he teaches math , yet you still learn a ton . Only down side is very long homework assignments , which aren\'t checked in depth . Tests aren\'t too bad . Overall , one of Duquesne\ 's finest . 	Awesome\O teacher\B .\O Very\O good\O at\O breaking\O the\O monotony\O ,\O especially\O since\O he\O teaches\O math\O ,\O yet\O you\O still\O learn\O a\O ton\O .\O Only\O down\O side\O is\O very\O long\O homework\O assignments\O ,\O which\O aren\'t\O checked\O in\O depth\O .\O Tests\O aren\'t\O too\O bad\O .\O Overall\O ,\O one\O of\O Duquesne\\O 's\O finest\O .\O 	Awesome\B teacher\O .\O Very\O good\O at\O breaking\O the\O monotony\O ,\O especially\O since\O he\O teaches\O math\O ,\O yet\O you\O still\O learn\O a\O ton\O .\O Only\O down\O side\O is\O very\O long\O homework\O assignments\O ,\O which\O aren\'t\O checked\O in\O depth\O .\O Tests\O aren\'t\O too\O bad\O .\O Overall\O ,\O one\O of\O Duquesne\\O 's\O finest\O .\O 
41015	I had Dr. Brown for BIO 2300 and she rocks ! ! ! I took the class on a Sunday and she made it fun and enjoyable . She is always willing to answer questions and really challenges you . I found her to be very fair and supportive of everyone\ 's overall goal of being successful . 	I\O had\O Dr.\O Brown\O for\O BIO\O 2300\O and\O she\O rocks\O !\O !\O !\O I\O took\O the\O class\O on\O a\O Sunday\O and\O she\O made\O it\O fun\O and\O enjoyable\O .\O She\O is\O always\O willing\O to\O answer\O questions\O and\O really\B challenges\I you\I .\O I\O found\O her\O to\O be\O very\O fair\O and\O supportive\O of\O everyone\\O 's\O overall\O goal\O of\O being\O successful\O .\O 	I\O had\O Dr.\O Brown\O for\O BIO\O 2300\O and\O she\O rocks\O !\O !\O !\O I\O took\O the\O class\O on\O a\O Sunday\O and\O she\O made\O it\O fun\O and\O enjoyable\O .\O She\O is\O always\O willing\O to\O answer\O questions\O and\O really\B challenges\I you\O .\O I\O found\O her\O to\O be\O very\O fair\O and\O supportive\O of\O everyone\\O 's\O overall\O goal\O of\O being\O successful\O .\O 
53632	Great class and not hard . Makes the material real by giving lots of real life examples . Lots and lots of slides keep it interesting . 	Great\O class\O and\O not\O hard\O .\O Makes\O the\O material\O real\O by\O giving\B lots\I of\I real\I life\I examples\I .\O Lots\O and\O lots\O of\O slides\O keep\O it\O interesting\O .\O 	Great\O class\O and\O not\O hard\O .\O Makes\O the\O material\O real\O by\O giving\O lots\B of\I real\I life\I examples\I .\O Lots\O and\O lots\O of\O slides\O keep\O it\O interesting\O .\O 
59353	Extremely Nice and Gentle~ Always smiles~ Really good at teaching classical guitar ! You will Love it ! ! 	Extremely\O Nice\O and\O Gentle~\O Always\O smiles~\O Really\O good\O at\O teaching\B classical\O guitar\O !\O You\O will\O Love\O it\O !\O !\O 	Extremely\O Nice\O and\O Gentle~\O Always\O smiles~\O Really\B good\I at\O teaching\O classical\O guitar\O !\O You\O will\O Love\O it\O !\O !\O 
29110	The home work assignments and practicals are very useful for us to understand the concepts well . It is a great help for us that you talk to each and every group and correct our errors . 	The\O home\B work\I assignments\I and\O practicals\O are\O very\O useful\O for\O us\O to\O understand\O the\O concepts\O well\O .\O It\O is\O a\O great\O help\O for\O us\O that\O you\O talk\O to\O each\O and\O every\O group\O and\O correct\O our\O errors\O .\O 	The\O home\O work\O assignments\O and\O practicals\O are\O very\B useful\I for\O us\O to\O understand\O the\O concepts\O well\O .\O It\O is\O a\O great\O help\O for\O us\O that\O you\O talk\O to\O each\O and\O every\O group\O and\O correct\O our\O errors\O .\O 
40063	The worst teacher I have ever had . He can not explain how to do anything relevant . The main points that you need to know come after 40 minutes of nonsense proof . Do not take him for Calculus based Physics worst teaching job ever . 	The\O worst\O teacher\O I\O have\O ever\O had\O .\O He\O can\O not\O explain\O how\O to\O do\O anything\O relevant\O .\O The\O main\O points\O that\O you\O need\O to\O know\O come\O after\O 40\O minutes\O of\O nonsense\O proof\O .\O Do\O not\O take\O him\B for\O Calculus\O based\O Physics\O worst\O teaching\O job\O ever\O .\O 	The\O worst\O teacher\O I\O have\O ever\O had\O .\O He\O can\O not\O explain\O how\O to\O do\O anything\O relevant\O .\O The\O main\O points\O that\O you\O need\O to\O know\O come\O after\O 40\O minutes\O of\O nonsense\O proof\O .\O Do\B not\I take\I him\O for\O Calculus\O based\O Physics\O worst\O teaching\O job\O ever\O .\O 
17800	He\ 's unbelievable . So inspiring and heartfelt . His eyes just light up , and everyone sings their hearts out for him . An amazing experience . 	He\B \\O 's\O unbelievable\O .\O So\O inspiring\O and\O heartfelt\O .\O His\O eyes\O just\O light\O up\O ,\O and\O everyone\O sings\O their\O hearts\O out\O for\O him\O .\O An\O amazing\O experience\O .\O 	He\\O 's\O unbelievable\B .\O So\O inspiring\O and\O heartfelt\O .\O His\O eyes\O just\O light\O up\O ,\O and\O everyone\O sings\O their\O hearts\O out\O for\O him\O .\O An\O amazing\O experience\O .\O 
46690	Ethusiastic , laidback , hilarious , but sure as hell knows what he\ 's doing . Great man , great class ! 	Ethusiastic\B ,\O laidback\O ,\O hilarious\O ,\O but\O sure\O as\O hell\O knows\O what\O he\\O 's\O doing\O .\O Great\O man\O ,\O great\O class\O !\O 	Ethusiastic\B ,\O laidback\O ,\O hilarious\O ,\O but\O sure\O as\O hell\O knows\O what\O he\\O 's\O doing\O .\O Great\O man\O ,\O great\O class\O !\O 
4251	An awesome lecturer ! Thank you Sir , for making the subject so interesting ! 	An\O awesome\O lecturer\O !\O Thank\O you\O Sir\O ,\O for\O making\B the\I subject\I so\I interesting\I !\O 	An\O awesome\O lecturer\O !\O Thank\B you\I Sir\O ,\O for\O making\O the\O subject\O so\O interesting\O !\O 
30891	No idea about how to implement the system , just have the idea of the design patterns 	No\O idea\O about\O how\O to\O implement\O the\O system\O ,\O just\O have\O the\O idea\O of\O the\O design\B patterns\I 	No\O idea\O about\O how\O to\O implement\O the\O system\O ,\O just\O have\B the\I idea\I of\O the\O design\O patterns\O 
36741	lectures was well structured to gain the learning outcomes . but it would be better if there are more practical examples discussed in the class . 	lectures\O was\O well\O structured\O to\O gain\O the\O learning\O outcomes\O .\O but\O it\O would\O be\O better\O if\O there\O are\O more\O practical\B examples\I discussed\I in\O the\O class\O .\O 	lectures\O was\O well\O structured\O to\O gain\O the\O learning\O outcomes\O .\O but\O it\O would\O be\O better\O if\O there\O are\O more\B practical\O examples\O discussed\O in\O the\O class\O .\O 
9352	I had her for newswriting and she is very unclear and tests are over too much information to even study for . Most assignments seem unplanned and on the spot most days . There are no power points provided and you\ 're basically on your own . I do not recommend this teacher if you\ 're truly interested in news writing and enhancing your skills . 	I\O had\O her\O for\O newswriting\O and\O she\O is\O very\O unclear\O and\O tests\O are\O over\O too\O much\O information\O to\O even\O study\O for\O .\O Most\O assignments\B seem\O unplanned\O and\O on\O the\O spot\O most\O days\O .\O There\O are\O no\O power\O points\O provided\O and\O you\\O 're\O basically\O on\O your\O own\O .\O I\O do\O not\O recommend\O this\O teacher\O if\O you\\O 're\O truly\O interested\O in\O news\O writing\O and\O enhancing\O your\O skills\O .\O 	I\O had\O her\O for\O newswriting\O and\O she\O is\O very\O unclear\O and\O tests\O are\O over\O too\O much\O information\O to\O even\O study\O for\O .\O Most\O assignments\O seem\O unplanned\B and\O on\O the\O spot\O most\O days\O .\O There\O are\O no\O power\O points\O provided\O and\O you\\O 're\O basically\O on\O your\O own\O .\O I\O do\O not\O recommend\O this\O teacher\O if\O you\\O 're\O truly\O interested\O in\O news\O writing\O and\O enhancing\O your\O skills\O .\O 
36112	Lecture series was good.But the time we had to take notes was not sufficient.If we could have more examples for final sessions it would have been better . 	Lecture\O series\O was\O good.But\O the\O time\O we\O had\O to\O take\O notes\O was\O not\O sufficient.If\O we\O could\O have\O more\O examples\B for\O final\O sessions\O it\O would\O have\O been\O better\O .\O 	Lecture\O series\O was\O good.But\O the\O time\O we\O had\O to\O take\O notes\O was\O not\O sufficient.If\O we\O could\O have\O more\B examples\O for\O final\O sessions\O it\O would\O have\O been\O better\O .\O 
44104	I didn\'t last long in this class . The man barely speaks English , therefore , he has issues answering any questions in class . He is rude and is very blunt with his feelings on the overall class grade . Whatever you do , AVOID this class unless Spanish is your primary language . 	I\O didn\'t\O last\O long\O in\O this\O class\O .\O The\O man\O barely\O speaks\O English\O ,\O therefore\O ,\O he\O has\O issues\O answering\O any\O questions\O in\O class\O .\O He\O is\O rude\O and\O is\O very\O blunt\B with\O his\O feelings\O on\O the\O overall\O class\O grade\O .\O Whatever\O you\O do\O ,\O AVOID\O this\O class\O unless\O Spanish\O is\O your\O primary\O language\O .\O 	I\O didn\'t\O last\O long\O in\O this\O class\O .\O The\O man\O barely\O speaks\O English\O ,\O therefore\O ,\O he\O has\O issues\O answering\O any\O questions\O in\O class\O .\O He\O is\O rude\O and\O is\O very\B blunt\I with\O his\O feelings\O on\O the\O overall\O class\O grade\O .\O Whatever\O you\O do\O ,\O AVOID\O this\O class\O unless\O Spanish\O is\O your\O primary\O language\O .\O 
110	Lecture series is very good 	Lecture\B series\I is\O very\O good\O 	Lecture\O series\O is\O very\B good\I 
40612	Most insane teacher ever . Reminds me of John Malkovitch ( complete with sleep-inducing voice ) . He came to class less than I did , but is still the sweetest prof ever . Your entire grade is basically given at the end , but he\ 's lenient . Never again though . 	Most\O insane\O teacher\O ever\O .\O Reminds\O me\O of\O John\O Malkovitch\O (\O complete\O with\O sleep-inducing\O voice\O )\O .\O He\O came\O to\O class\O less\O than\O I\O did\O ,\O but\O is\O still\O the\O sweetest\B prof\O ever\O .\O Your\O entire\O grade\O is\O basically\O given\O at\O the\O end\O ,\O but\O he\\O 's\O lenient\O .\O Never\O again\O though\O .\O 	Most\O insane\O teacher\O ever\O .\O Reminds\O me\O of\O John\O Malkovitch\O (\O complete\O with\O sleep-inducing\O voice\O )\O .\O He\O came\O to\O class\O less\O than\O I\O did\O ,\O but\O is\O still\O the\O sweetest\B prof\O ever\O .\O Your\O entire\O grade\O is\O basically\O given\O at\O the\O end\O ,\O but\O he\\O 's\O lenient\O .\O Never\O again\O though\O .\O 
28702	Lecturer was descriptive , used many good examples to explain concepts , gave sufficient work and activities to help understand the concepts , gave students opportunities to ask questions etc ... 	Lecturer\O was\O descriptive\O ,\O used\O many\O good\O examples\O to\O explain\O concepts\O ,\O gave\O sufficient\O work\B and\O activities\O to\O help\O understand\O the\O concepts\O ,\O gave\O students\O opportunities\O to\O ask\O questions\O etc\O ...\O 	Lecturer\O was\O descriptive\O ,\O used\O many\O good\O examples\O to\O explain\O concepts\O ,\O gave\O sufficient\O work\O and\O activities\O to\O help\B understand\I the\O concepts\O ,\O gave\O students\O opportunities\O to\O ask\O questions\O etc\O ...\O 
28921	In class activities , homework problems and feedback on those helped us lot to understand the subject matters . 	In\O class\O activities\O ,\O homework\B problems\I and\O feedback\O on\O those\O helped\O us\O lot\O to\O understand\O the\O subject\O matters\O .\O 	In\O class\O activities\O ,\O homework\O problems\O and\O feedback\O on\O those\O helped\B us\I lot\I to\I understand\I the\O subject\O matters\O .\O 
36202	Discussing the examples in the lectures was good , since we understood the concepts easily through that . If more examples were done for every concept it would have been better . The work load was a bit too much . But the lecture series was good . 	Discussing\O the\O examples\O in\O the\O lectures\O was\O good\O ,\O since\O we\O understood\O the\O concepts\O easily\O through\O that\O .\O If\O more\O examples\B were\O done\O for\O every\O concept\O it\O would\O have\O been\O better\O .\O The\O work\O load\O was\O a\O bit\O too\O much\O .\O But\O the\O lecture\O series\O was\O good\O .\O 	Discussing\O the\O examples\O in\O the\O lectures\O was\O good\O ,\O since\O we\O understood\O the\O concepts\O easily\O through\O that\O .\O If\O more\B examples\O were\O done\O for\O every\O concept\O it\O would\O have\O been\O better\O .\O The\O work\O load\O was\O a\O bit\O too\O much\O .\O But\O the\O lecture\O series\O was\O good\O .\O 
23910	How you did the lectures was good madam.But Encapsulation and other lectures after that lectures were little bit some difficulties to understand.You tried hard to give your knowledge to us.You made tutorial classes , home works.We appreciate that madam and thanks for the effort you did . 	How\O you\O did\O the\O lectures\B was\O good\O madam.But\O Encapsulation\O and\O other\O lectures\O after\O that\O lectures\O were\O little\O bit\O some\O difficulties\O to\O understand.You\O tried\O hard\O to\O give\O your\O knowledge\O to\O us.You\O made\O tutorial\O classes\O ,\O home\O works.We\O appreciate\O that\O madam\O and\O thanks\O for\O the\O effort\O you\O did\O .\O 	How\O you\O did\O the\O lectures\O was\O good\B madam.But\O Encapsulation\O and\O other\O lectures\O after\O that\O lectures\O were\O little\O bit\O some\O difficulties\O to\O understand.You\O tried\O hard\O to\O give\O your\O knowledge\O to\O us.You\O made\O tutorial\O classes\O ,\O home\O works.We\O appreciate\O that\O madam\O and\O thanks\O for\O the\O effort\O you\O did\O .\O 
40662	Very traditional teacher but more than fair . He gives out a generous amount of extra credit and does everything he can to help you if yon need it . Would recommend . 	Very\O traditional\O teacher\O but\O more\O than\O fair\O .\O He\O gives\O out\O a\O generous\O amount\O of\O extra\B credit\I and\O does\O everything\O he\O can\O to\O help\O you\O if\O yon\O need\O it\O .\O Would\O recommend\O .\O 	Very\O traditional\O teacher\O but\O more\O than\O fair\O .\O He\O gives\O out\O a\O generous\B amount\I of\I extra\I credit\O and\O does\O everything\O he\O can\O to\O help\O you\O if\O yon\O need\O it\O .\O Would\O recommend\O .\O 
1340	Upload coding examples 	Upload\O coding\B examples\I 	Upload\B coding\O examples\O 
19460	Boring . Didnt really stimulate my thinking . Read material straight off powerpoints . Nice guy , but bored me . Class is relatively easy . 	Boring\O .\O Didnt\O really\O stimulate\B my\O thinking\O .\O Read\O material\O straight\O off\O powerpoints\O .\O Nice\O guy\O ,\O but\O bored\O me\O .\O Class\O is\O relatively\O easy\O .\O 	Boring\O .\O Didnt\B really\I stimulate\I my\O thinking\O .\O Read\O material\O straight\O off\O powerpoints\O .\O Nice\O guy\O ,\O but\O bored\O me\O .\O Class\O is\O relatively\O easy\O .\O 
57431	dry , no experience , weak food . 	dry\O ,\O no\O experience\B ,\O weak\O food\O .\O 	dry\O ,\O no\B experience\I ,\O weak\O food\O .\O 
56821	jerry is the man , definitely my favorite math teacher i\ 've had at wwu 	jerry\B is\O the\O man\O ,\O definitely\O my\O favorite\O math\O teacher\O i\\O 've\O had\O at\O wwu\O 	jerry\O is\O the\O man\O ,\O definitely\O my\O favorite\B math\O teacher\O i\\O 've\O had\O at\O wwu\O 
28903	very useful in giving homework exercises and explaining them in the class evaluating weekly and getting feedback helps to develop the system 	very\O useful\O in\O giving\O homework\O exercises\O and\O explaining\O them\O in\O the\O class\O evaluating\O weekly\O and\O getting\B feedback\I helps\O to\O develop\O the\O system\O 	very\O useful\O in\O giving\O homework\O exercises\O and\O explaining\O them\O in\O the\O class\O evaluating\O weekly\O and\O getting\O feedback\O helps\B to\O develop\O the\O system\O 
27151	His explanations about OOP were really good and he gave some really good real world examples.We 'd be glad to have a another lecture from him . 	His\O explanations\O about\O OOP\O were\O really\O good\O and\O he\O gave\O some\O really\O good\O real\O world\O examples\B .We\O 'd\O be\O glad\O to\O have\O a\O another\O lecture\O from\O him\O .\O 	His\O explanations\O about\O OOP\O were\O really\O good\O and\O he\O gave\O some\O really\O good\B real\O world\O examples.We\O 'd\O be\O glad\O to\O have\O a\O another\O lecture\O from\O him\O .\O 
56022	What a nice person ! She is very approachable and her lecture material is clear . I would definately recommend any class with her . 	What\O a\O nice\O person\O !\O She\O is\O very\O approachable\O and\O her\O lecture\B material\I is\O clear\O .\O I\O would\O definately\O recommend\O any\O class\O with\O her\O .\O 	What\O a\O nice\O person\O !\O She\O is\O very\O approachable\O and\O her\O lecture\O material\O is\O clear\B .\O I\O would\O definately\O recommend\O any\O class\O with\O her\O .\O 
